Holdout,True Effect Size,Theoretical Alpha,Theoretical Beta,Sample Budget,Repetition,Seed,True Positive,False Positive,True Negative,False Negative,Average True Positive Samples,Simulated Alpha,Simulated Beta
0,0.1,0.001,0.8,200,0,2060213040,40,2,998,960,158.75,0.002,0.04
0,0.1,0.001,0.8,200,1,3154583747,56,3,997,944,151.78571428571428,0.003,0.056
0,0.1,0.001,0.8,200,2,1977517633,64,4,996,936,158.59375,0.004,0.064
0,0.1,0.001,0.8,200,3,3066078385,45,3,997,955,160.0,0.003,0.045
0,0.1,0.001,0.8,200,4,3089397608,54,1,999,946,148.14814814814815,0.001,0.054
0,0.1,0.001,0.8,200,5,532788745,51,0,1000,949,156.86274509803923,0.0,0.051
0,0.1,0.001,0.8,200,6,2867174976,46,3,997,954,153.80434782608697,0.003,0.046
0,0.1,0.001,0.8,200,7,4034920511,60,3,997,940,153.75,0.003,0.06
0,0.1,0.001,0.8,200,8,1072863859,46,3,997,954,144.02173913043478,0.003,0.046
0,0.1,0.001,0.8,200,9,1080235989,38,1,999,962,150.6578947368421,0.001,0.038
0,0.1,0.001,0.8,500,0,4200449857,169,4,996,831,349.70414201183434,0.004,0.169
0,0.1,0.001,0.8,500,1,1349861432,172,7,993,828,362.2093023255814,0.007,0.172
0,0.1,0.001,0.8,500,2,660147310,173,4,996,827,358.3815028901734,0.004,0.173
0,0.1,0.001,0.8,500,3,3165744179,180,8,992,820,355.0,0.008,0.18
0,0.1,0.001,0.8,500,4,1997832697,181,3,997,819,360.77348066298345,0.003,0.181
0,0.1,0.001,0.8,500,5,2149035163,178,4,996,822,369.1011235955056,0.004,0.178
0,0.1,0.001,0.8,500,6,2297081064,197,5,995,803,359.39086294416245,0.005,0.197
0,0.1,0.001,0.8,500,7,1030671786,164,4,996,836,350.609756097561,0.004,0.164
0,0.1,0.001,0.8,500,8,2852919484,176,5,995,824,365.34090909090907,0.005,0.176
0,0.1,0.001,0.8,500,9,533287686,165,4,996,835,367.27272727272725,0.004,0.165
0,0.1,0.001,0.8,1000,0,3117836961,481,4,996,519,719.3347193347194,0.004,0.481
0,0.1,0.001,0.8,1000,1,1408109306,511,2,998,489,738.013698630137,0.002,0.511
0,0.1,0.001,0.8,1000,2,456335665,499,6,994,501,731.2625250501002,0.006,0.499
0,0.1,0.001,0.8,1000,3,102663166,479,2,998,521,739.3006263048017,0.002,0.479
0,0.1,0.001,0.8,1000,4,1725106843,479,3,997,521,724.7390396659707,0.003,0.479
0,0.1,0.001,0.8,1000,5,808442827,513,2,998,487,698.6842105263158,0.002,0.513
0,0.1,0.001,0.8,1000,6,2882813864,486,3,997,514,700.0,0.003,0.486
0,0.1,0.001,0.8,1000,7,1584070675,475,5,995,525,704.8947368421053,0.005,0.475
0,0.1,0.001,0.8,1000,8,2339823783,507,4,996,493,714.6449704142012,0.004,0.507
0,0.1,0.001,0.8,1000,9,2156917470,490,6,994,510,725.8673469387755,0.006,0.49
0,0.1,0.005,0.8,200,0,1314651005,114,16,984,886,143.2017543859649,0.016,0.114
0,0.1,0.005,0.8,200,1,1950700294,127,16,984,873,146.6535433070866,0.016,0.127
0,0.1,0.005,0.8,200,2,1499448207,110,16,984,890,143.63636363636363,0.016,0.11
0,0.1,0.005,0.8,200,3,2685251726,107,15,985,893,142.05607476635515,0.015,0.107
0,0.1,0.005,0.8,200,4,131427352,123,17,983,877,144.10569105691056,0.017,0.123
0,0.1,0.005,0.8,200,5,2578506489,111,18,982,889,146.17117117117118,0.018,0.111
0,0.1,0.005,0.8,200,6,2872409955,119,9,991,881,141.5966386554622,0.009,0.119
0,0.1,0.005,0.8,200,7,1996066788,110,16,984,890,143.4090909090909,0.016,0.11
0,0.1,0.005,0.8,200,8,3088683231,128,10,990,872,142.3828125,0.01,0.128
0,0.1,0.005,0.8,200,9,393603399,112,16,984,888,149.10714285714286,0.016,0.112
0,0.1,0.005,0.8,500,0,497282639,327,16,984,673,328.7461773700306,0.016,0.327
0,0.1,0.005,0.8,500,1,3049053499,343,19,981,657,332.3615160349854,0.019,0.343
0,0.1,0.005,0.8,500,2,1255471805,335,19,981,665,335.2238805970149,0.019,0.335
0,0.1,0.005,0.8,500,3,2953385254,338,21,979,662,336.9822485207101,0.021,0.338
0,0.1,0.005,0.8,500,4,429088537,368,14,986,632,342.6630434782609,0.014,0.368
0,0.1,0.005,0.8,500,5,505525613,314,17,983,686,335.9872611464968,0.017,0.314
0,0.1,0.005,0.8,500,6,3361373609,334,20,980,666,339.8203592814371,0.02,0.334
0,0.1,0.005,0.8,500,7,1979916250,339,12,988,661,341.2979351032448,0.012,0.339
0,0.1,0.005,0.8,500,8,1474266197,328,15,985,672,331.7073170731707,0.015,0.328
0,0.1,0.005,0.8,500,9,2805308116,342,16,984,658,343.27485380116957,0.016,0.342
0,0.1,0.005,0.8,1000,0,2157024914,683,13,987,317,637.298682284041,0.013,0.683
0,0.1,0.005,0.8,1000,1,1747737073,673,19,981,327,645.6166419019316,0.019,0.673
0,0.1,0.005,0.8,1000,2,2676490118,664,26,974,336,632.6807228915662,0.026,0.664
0,0.1,0.005,0.8,1000,3,3674205525,679,20,980,321,633.5051546391752,0.02,0.679
0,0.1,0.005,0.8,1000,4,877415473,681,21,979,319,643.5022026431718,0.021,0.681
0,0.1,0.005,0.8,1000,5,2226019911,681,19,981,319,636.5638766519824,0.019,0.681
0,0.1,0.005,0.8,1000,6,4042715739,696,22,978,304,617.8879310344828,0.022,0.696
0,0.1,0.005,0.8,1000,7,1569532410,703,16,984,297,634.1749644381223,0.016,0.703
0,0.1,0.005,0.8,1000,8,4000330009,705,16,984,295,643.1914893617021,0.016,0.705
0,0.1,0.005,0.8,1000,9,1080166493,666,17,983,334,636.1486486486486,0.017,0.666
0,0.1,0.01,0.8,200,0,3097411943,177,21,979,823,140.5367231638418,0.021,0.177
0,0.1,0.01,0.8,200,1,3575236786,185,23,977,815,143.51351351351352,0.023,0.185
0,0.1,0.01,0.8,200,2,1043272246,176,23,977,824,147.4431818181818,0.023,0.176
0,0.1,0.01,0.8,200,3,2038588409,175,28,972,825,143.71428571428572,0.028,0.175
0,0.1,0.01,0.8,200,4,2879242036,170,33,967,830,147.7941176470588,0.033,0.17
0,0.1,0.01,0.8,200,5,2042804215,184,23,977,816,142.66304347826087,0.023,0.184
0,0.1,0.01,0.8,200,6,4205403840,174,15,985,826,145.68965517241378,0.015,0.174
0,0.1,0.01,0.8,200,7,532227436,175,25,975,825,137.57142857142858,0.025,0.175
0,0.1,0.01,0.8,200,8,4162680101,176,24,976,824,137.92613636363637,0.024,0.176
0,0.1,0.01,0.8,200,9,3348186645,176,30,970,824,145.73863636363637,0.03,0.176
0,0.1,0.01,0.8,500,0,272298804,439,29,971,561,310.70615034168566,0.029,0.439
0,0.1,0.01,0.8,500,1,3210649958,407,25,975,593,314.74201474201476,0.025,0.407
0,0.1,0.01,0.8,500,2,4140976762,432,35,965,568,324.30555555555554,0.035,0.432
0,0.1,0.01,0.8,500,3,3074235253,425,28,972,575,318.11764705882354,0.028,0.425
0,0.1,0.01,0.8,500,4,1327074682,455,33,967,545,332.0879120879121,0.033,0.455
0,0.1,0.01,0.8,500,5,1729129800,445,30,970,555,321.7977528089888,0.03,0.445
0,0.1,0.01,0.8,500,6,2535025147,431,33,967,569,313.4570765661253,0.033,0.431
0,0.1,0.01,0.8,500,7,1729620563,417,36,964,583,315.5875299760192,0.036,0.417
0,0.1,0.01,0.8,500,8,3928743485,438,31,969,562,318.72146118721463,0.031,0.438
0,0.1,0.01,0.8,500,9,1542212040,439,30,970,561,322.77904328018224,0.03,0.439
0,0.1,0.01,0.8,1000,0,645293919,778,36,964,222,590.1992287917737,0.036,0.778
0,0.1,0.01,0.8,1000,1,3862505429,755,39,961,245,600.9602649006622,0.039,0.755
0,0.1,0.01,0.8,1000,2,3837094253,767,38,962,233,596.0560625814863,0.038,0.767
0,0.1,0.01,0.8,1000,3,3658901171,765,34,966,235,617.3529411764706,0.034,0.765
0,0.1,0.01,0.8,1000,4,2195812867,749,38,962,251,594.1588785046729,0.038,0.749
0,0.1,0.01,0.8,1000,5,693681592,756,32,968,244,601.4880952380952,0.032,0.756
0,0.1,0.01,0.8,1000,6,617366327,770,37,963,230,584.7727272727273,0.037,0.77
0,0.1,0.01,0.8,1000,7,1650380118,759,32,968,241,586.4624505928854,0.032,0.759
0,0.1,0.01,0.8,1000,8,1236425326,762,37,963,238,581.8897637795276,0.037,0.762
0,0.1,0.01,0.8,1000,9,477622856,766,39,961,234,580.8420365535248,0.039,0.766
0,0.1,0.05,0.8,200,0,3580186274,375,117,883,625,137.2,0.117,0.375
0,0.1,0.05,0.8,200,1,4062237784,387,104,896,613,129.39276485788113,0.104,0.387
0,0.1,0.05,0.8,200,2,1759201572,394,107,893,606,133.43908629441626,0.107,0.394
0,0.1,0.05,0.8,200,3,450547519,364,93,907,636,133.31043956043956,0.093,0.364
0,0.1,0.05,0.8,200,4,2077499870,382,110,890,618,134.22774869109946,0.11,0.382
0,0.1,0.05,0.8,200,5,3270193001,410,103,897,590,135.67073170731706,0.103,0.41
0,0.1,0.05,0.8,200,6,3867309643,396,105,895,604,134.40656565656565,0.105,0.396
0,0.1,0.05,0.8,200,7,3880841229,356,101,899,644,131.03932584269663,0.101,0.356
0,0.1,0.05,0.8,200,8,3024414287,371,118,882,629,132.8167115902965,0.118,0.371
0,0.1,0.05,0.8,200,9,521914869,375,97,903,625,133.73333333333332,0.097,0.375
0,0.1,0.05,0.8,500,0,259543071,685,136,864,315,272.992700729927,0.136,0.685
0,0.1,0.05,0.8,500,1,1121742059,681,116,884,319,271.2187958883994,0.116,0.681
0,0.1,0.05,0.8,500,2,1610494697,668,161,839,332,268.2634730538922,0.161,0.668
0,0.1,0.05,0.8,500,3,1740906151,684,122,878,316,264.1812865497076,0.122,0.684
0,0.1,0.05,0.8,500,4,1526026506,669,154,846,331,283.4080717488789,0.154,0.669
0,0.1,0.05,0.8,500,5,3062856501,685,128,872,315,274.8905109489051,0.128,0.685
0,0.1,0.05,0.8,500,6,774700946,704,136,864,296,272.8693181818182,0.136,0.704
0,0.1,0.05,0.8,500,7,3508509558,706,146,854,294,274.5042492917847,0.146,0.706
0,0.1,0.05,0.8,500,8,2551252700,691,133,867,309,275.397973950796,0.133,0.691
0,0.1,0.05,0.8,500,9,2645931115,687,120,880,313,268.41339155749637,0.12,0.687
0,0.1,0.05,0.8,1000,0,1271775737,928,140,860,72,453.98706896551727,0.14,0.928
0,0.1,0.05,0.8,1000,1,3885998977,915,168,832,85,485.327868852459,0.168,0.915
0,0.1,0.05,0.8,1000,2,195214657,925,166,834,75,477.5135135135135,0.166,0.925
0,0.1,0.05,0.8,1000,3,2150740023,918,148,852,82,469.3627450980392,0.148,0.918
0,0.1,0.05,0.8,1000,4,970662159,899,146,854,101,480.42269187986653,0.146,0.899
0,0.1,0.05,0.8,1000,5,3995710798,916,150,850,84,456.4137554585153,0.15,0.916
0,0.1,0.05,0.8,1000,6,3768920259,918,156,844,82,456.8627450980392,0.156,0.918
0,0.1,0.05,0.8,1000,7,2055107581,922,163,837,78,459.70715835141,0.163,0.922
0,0.1,0.05,0.8,1000,8,1154841209,907,164,836,93,460.1984564498346,0.164,0.907
0,0.1,0.05,0.8,1000,9,1169933830,914,157,843,86,483.28774617067836,0.157,0.914
0,0.1,0.1,0.8,200,0,1322523520,511,217,783,489,127.00587084148728,0.217,0.511
0,0.1,0.1,0.8,200,1,1716497311,525,208,792,475,129.38095238095238,0.208,0.525
0,0.1,0.1,0.8,200,2,2805003310,516,211,789,484,126.30813953488372,0.211,0.516
0,0.1,0.1,0.8,200,3,2302957621,548,194,806,452,126.64233576642336,0.194,0.548
0,0.1,0.1,0.8,200,4,898541594,499,198,802,501,128.85771543086173,0.198,0.499
0,0.1,0.1,0.8,200,5,2113035121,528,194,806,472,128.7405303030303,0.194,0.528
0,0.1,0.1,0.8,200,6,3152696730,508,199,801,492,127.21456692913385,0.199,0.508
0,0.1,0.1,0.8,200,7,4219029374,516,202,798,484,125.3875968992248,0.202,0.516
0,0.1,0.1,0.8,200,8,79220560,496,228,772,504,129.33467741935485,0.228,0.496
0,0.1,0.1,0.8,200,9,156790501,523,193,807,477,127.5812619502868,0.193,0.523
0,0.1,0.1,0.8,500,0,211823447,781,269,731,219,235.2112676056338,0.269,0.781
0,0.1,0.1,0.8,500,1,3415624841,806,265,735,194,234.7394540942928,0.265,0.806
0,0.1,0.1,0.8,500,2,1578930483,773,281,719,227,242.8201811125485,0.281,0.773
0,0.1,0.1,0.8,500,3,1715843122,784,245,755,216,241.7091836734694,0.245,0.784
0,0.1,0.1,0.8,500,4,2403524339,775,261,739,225,244.7741935483871,0.261,0.775
0,0.1,0.1,0.8,500,5,2214465854,814,272,728,186,245.33169533169533,0.272,0.814
0,0.1,0.1,0.8,500,6,1532798850,799,263,737,201,251.68961201501878,0.263,0.799
0,0.1,0.1,0.8,500,7,2366913135,783,277,723,217,241.12388250319285,0.277,0.783
0,0.1,0.1,0.8,500,8,155720477,808,255,745,192,247.27722772277227,0.255,0.808
0,0.1,0.1,0.8,500,9,1531053646,829,245,755,171,244.270205066345,0.245,0.829
0,0.1,0.1,0.8,1000,0,2484452225,960,303,697,40,378.90625,0.303,0.96
0,0.1,0.1,0.8,1000,1,71055024,965,261,739,35,397.7461139896373,0.261,0.965
0,0.1,0.1,0.8,1000,2,2494259814,961,277,723,39,395.00520291363165,0.277,0.961
0,0.1,0.1,0.8,1000,3,1080174596,945,292,708,55,413.0952380952381,0.292,0.945
0,0.1,0.1,0.8,1000,4,3380171468,946,278,722,54,390.169133192389,0.278,0.946
0,0.1,0.1,0.8,1000,5,3013769900,953,281,719,47,396.77334732423924,0.281,0.953
0,0.1,0.1,0.8,1000,6,3286806539,958,257,743,42,392.40605427974947,0.257,0.958
0,0.1,0.1,0.8,1000,7,1650391290,966,269,731,34,394.1770186335404,0.269,0.966
0,0.1,0.1,0.8,1000,8,3223394041,966,312,688,34,394.1770186335404,0.312,0.966
0,0.1,0.1,0.8,1000,9,311197630,958,282,718,42,396.63361169102296,0.282,0.958
0,0.1,0.5,0.8,200,0,1708792056,915,771,229,85,112.26775956284153,0.771,0.915
0,0.1,0.5,0.8,200,1,2672870131,926,774,226,74,112.82397408207343,0.774,0.926
0,0.1,0.5,0.8,200,2,1982273674,926,787,213,74,113.01295896328294,0.787,0.926
0,0.1,0.5,0.8,200,3,1024290403,916,781,219,84,113.81004366812228,0.781,0.916
0,0.1,0.5,0.8,200,4,3752543143,894,793,207,106,113.95413870246085,0.793,0.894
0,0.1,0.5,0.8,200,5,2604932802,924,807,193,76,112.63528138528139,0.807,0.924
0,0.1,0.5,0.8,200,6,110155789,903,788,212,97,111.65559246954595,0.788,0.903
0,0.1,0.5,0.8,200,7,3120822951,899,787,213,101,111.84649610678532,0.787,0.899
0,0.1,0.5,0.8,200,8,656798482,924,793,207,76,112.55411255411255,0.793,0.924
0,0.1,0.5,0.8,200,9,1455303174,911,777,223,89,112.18441273326016,0.777,0.911
0,0.1,0.5,0.8,500,0,1098152181,987,875,125,13,151.67173252279636,0.875,0.987
0,0.1,0.5,0.8,500,1,2210737398,981,876,124,19,146.07543323139654,0.876,0.981
0,0.1,0.5,0.8,500,2,494255957,989,851,149,11,142.36602628918098,0.851,0.989
0,0.1,0.5,0.8,500,3,3791126146,981,887,113,19,156.06523955147807,0.887,0.981
0,0.1,0.5,0.8,500,4,3009493271,977,875,125,23,147.18526100307062,0.875,0.977
0,0.1,0.5,0.8,500,5,4119573161,980,876,124,20,150.91836734693877,0.876,0.98
0,0.1,0.5,0.8,500,6,409306504,986,866,134,14,148.4787018255578,0.866,0.986
0,0.1,0.5,0.8,500,7,4073679445,983,889,111,17,149.6439471007121,0.889,0.983
0,0.1,0.5,0.8,500,8,2118731463,982,861,139,18,150.6109979633401,0.861,0.982
0,0.1,0.5,0.8,500,9,1656331698,988,875,125,12,150.40485829959513,0.875,0.988
0,0.1,0.5,0.8,1000,0,2145375717,999,894,106,1,188.06306306306305,0.894,0.999
0,0.1,0.5,0.8,1000,1,1588069627,998,875,125,2,195.36573146292585,0.875,0.998
0,0.1,0.5,0.8,1000,2,2813084668,999,883,117,1,199.0990990990991,0.883,0.999
0,0.1,0.5,0.8,1000,3,4231521972,1000,899,101,0,196.075,0.899,1.0
0,0.1,0.5,0.8,1000,4,4107995609,996,902,98,4,189.4578313253012,0.902,0.996
0,0.1,0.5,0.8,1000,5,4087782264,999,906,94,1,188.06306306306305,0.906,0.999
0,0.1,0.5,0.8,1000,6,2154840368,999,901,99,1,186.26126126126127,0.901,0.999
0,0.1,0.5,0.8,1000,7,2058133626,999,900,100,1,194.81981981981983,0.9,0.999
0,0.1,0.5,0.8,1000,8,3812726333,995,896,104,5,185.47738693467338,0.896,0.995
0,0.1,0.5,0.8,1000,9,990515540,1000,881,119,0,191.8,0.881,1.0
0,0.1,1.0,0.8,200,0,1520195192,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,200,1,748084320,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,200,2,598757937,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,200,3,2431009992,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,200,4,2871857346,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,200,5,3604262155,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,200,6,4194594126,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,200,7,284249558,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,200,8,2371929626,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,200,9,4266914714,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,500,0,4216294346,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,500,1,57974720,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,500,2,3771864491,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,500,3,775667507,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,500,4,1251966463,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,500,5,2337963888,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,500,6,1787381412,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,500,7,3925632296,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,500,8,2295865609,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,500,9,1285888213,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,1000,0,623110981,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,1000,1,62389741,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,1000,2,2559360085,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,1000,3,3202724692,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,1000,4,1224320264,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,1000,5,3655252879,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,1000,6,1435274231,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,1000,7,1896029007,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,1000,8,1086132210,1000,1000,0,0,100.0,1.0,1.0
0,0.1,1.0,0.8,1000,9,325394236,1000,1000,0,0,100.0,1.0,1.0
0,0.25,0.001,0.8,200,0,3835296080,626,2,998,374,144.36900958466452,0.002,0.626
0,0.25,0.001,0.8,200,1,1703234524,626,1,999,374,138.37859424920129,0.001,0.626
0,0.25,0.001,0.8,200,2,1791394134,626,3,997,374,143.13099041533548,0.003,0.626
0,0.25,0.001,0.8,200,3,1901869703,611,1,999,389,140.87561374795416,0.001,0.611
0,0.25,0.001,0.8,200,4,3914348075,606,5,995,394,139.5214521452145,0.005,0.606
0,0.25,0.001,0.8,200,5,2817214018,605,2,998,395,139.79338842975207,0.002,0.605
0,0.25,0.001,0.8,200,6,1610781176,637,4,996,363,141.2087912087912,0.004,0.637
0,0.25,0.001,0.8,200,7,1774559359,613,5,995,387,141.6394779771615,0.005,0.613
0,0.25,0.001,0.8,200,8,2841605381,655,1,999,345,143.89312977099237,0.001,0.655
0,0.25,0.001,0.8,200,9,3415854125,643,2,998,357,141.83514774494557,0.002,0.643
0,0.25,0.001,0.8,500,0,3896869499,989,1,999,11,233.87259858442872,0.001,0.989
0,0.25,0.001,0.8,500,1,616470338,991,5,995,9,236.93239152371342,0.005,0.991
0,0.25,0.001,0.8,500,2,2417808344,992,2,998,8,239.61693548387098,0.002,0.992
0,0.25,0.001,0.8,500,3,4067161311,987,4,996,13,241.4387031408308,0.004,0.987
0,0.25,0.001,0.8,500,4,1632084894,986,5,995,14,238.13387423935092,0.005,0.986
0,0.25,0.001,0.8,500,5,1371920614,990,7,993,10,240.40404040404042,0.007,0.99
0,0.25,0.001,0.8,500,6,3392103824,986,6,994,14,229.7160243407708,0.006,0.986
0,0.25,0.001,0.8,500,7,2367124426,994,2,998,6,243.56136820925553,0.002,0.994
0,0.25,0.001,0.8,500,8,1800416784,991,2,998,9,235.3178607467205,0.002,0.991
0,0.25,0.001,0.8,500,9,3140430862,988,3,997,12,236.43724696356276,0.003,0.988
0,0.25,0.001,0.8,1000,0,1000280651,1000,5,995,0,315.1,0.005,1.0
0,0.25,0.001,0.8,1000,1,2065876381,1000,4,996,0,304.525,0.004,1.0
0,0.25,0.001,0.8,1000,2,2436015578,1000,4,996,0,306.55,0.004,1.0
0,0.25,0.001,0.8,1000,3,36116720,1000,4,996,0,306.325,0.004,1.0
0,0.25,0.001,0.8,1000,4,1008789152,1000,7,993,0,304.3,0.007,1.0
